close,epoch,high,low,open
1.08818,1702497600,1.08967,1.08649,1.0888
1.0875,1702501200,1.08841,1.08737,1.08816
1.08783,1702504800,1.08842,1.0873,1.08747
1.08827,1702508400,1.0885,1.08758,1.08779
1.08933,1702512000,1.08952,1.08792,1.08826
1.08966,1702515600,1.08982,1.08856,1.08933
1.09046,1702519200,1.09052,1.08934,1.08966
1.0906,1702522800,1.09153,1.09045,1.09047
1.08996,1702526400,1.09097,1.08993,1.0906
1.0894,1702530000,1.09001,1.08932,1.08995
1.09015,1702533600,1.09032,1.08941,1.08941
1.08812,1702537200,1.09081,1.0881,1.09016
1.09019,1702540800,1.09051,1.08799,1.08809
1.09033,1702544400,1.0913,1.09004,1.09021
1.09134,1702548000,1.09141,1.08983,1.09036
1.09297,1702551600,1.09318,1.09131,1.09133
1.09239,1702555200,1.09398,1.09232,1.09297
1.09436,1702558800,1.09514,1.0906,1.09239
1.09911,1702562400,1.09925,1.09362,1.0944
1.09939,1702566000,1.09974,1.09681,1.0991
1.09963,1702569600,1.10033,1.09908,1.09937
1.10052,1702573200,1.10093,1.09894,1.09964
1.09828,1702576800,1.10061,1.09823,1.10051
1.09922,1702580400,1.09954,1.09796,1.09829
1.09929,1702584000,1.0997,1.09882,1.09923
1.09926,1702587600,1.09937,1.09883,1.09928
1.09924,1702591200,1.0997,1.09904,1.09934
1.09936,1702594800,1.09967,1.099,1.0993
1.09831,1702598400,1.09943,1.09771,1.09935
1.09847,1702602000,1.09897,1.09819,1.09833
1.09974,1702605600,1.09987,1.09847,1.09849
1.09991,1702609200,1.1001,1.0994,1.09975
1.09983,1702612800,1.10037,1.09968,1.0999
1.09845,1702616400,1.09984,1.09838,1.09982
1.09875,1702620000,1.0988,1.09808,1.09844
1.0994,1702623600,1.09955,1.09831,1.09874
1.09554,1702627200,1.09994,1.09465,1.09939
1.09605,1702630800,1.09675,1.09492,1.09559
1.09645,1702634400,1.09677,1.09567,1.09604
1.09685,1702638000,1.09694,1.0957,1.09645
1.09434,1702641600,1.09696,1.09409,1.09684
1.09166,1702645200,1.09485,1.09042,1.09434
1.09195,1702648800,1.09282,1.09108,1.09164
1.09162,1702652400,1.09229,1.09051,1.09197
1.09056,1702656000,1.09167,1.09018,1.09157
1.09106,1702659600,1.09165,1.09044,1.09056
1.0894,1702663200,1.0911,1.08888,1.09104
1.08996,1702666800,1.08997,1.089,1.08938
1.0901,1702670400,1.09091,1.08988,1.08997
1.09006,1702857600,1.09014,1.0894,1.08949
1.08976,1702861200,1.09007,1.08947,1.09006
1.09041,1702864800,1.09054,1.08974,1.08975
1.09111,1702868400,1.09139,1.09031,1.09041
1.0913,1702872000,1.09132,1.09091,1.09112
1.09156,1702875600,1.09159,1.09109,1.09131
1.09186,1702879200,1.09203,1.09117,1.09156
1.09219,1702882800,1.093,1.09161,1.09187
1.09183,1702886400,1.09237,1.0916,1.09218
1.09198,1702890000,1.09283,1.0914,1.09183
1.09101,1702893600,1.09208,1.09085,1.09196
1.09129,1702897200,1.09136,1.09073,1.09104
1.09138,1702900800,1.09175,1.09094,1.09129
1.09214,1702904400,1.0929,1.09137,1.09138
1.09292,1702908000,1.0931,1.09206,1.09215
1.0914,1702911600,1.0931,1.09111,1.09292
1.09191,1702915200,1.0925,1.09134,1.09142
1.09277,1702918800,1.0928,1.09184,1.0919
1.09233,1702922400,1.0928,1.09202,1.09278
1.09168,1702926000,1.09234,1.09131,1.09234
1.09197,1702929600,1.09198,1.09137,1.09169
1.09235,1702933200,1.09245,1.09176,1.09196
1.09215,1702936800,1.09255,1.09177,1.09237
1.09235,1702940400,1.09248,1.09197,1.09223
1.09203,1702944000,1.09248,1.09179,1.09236
1.09188,1702947600,1.0926,1.09178,1.09205
1.09219,1702951200,1.09231,1.09149,1.09188
1.09256,1702954800,1.09293,1.09205,1.09219
1.09231,1702958400,1.09272,1.09202,1.09255
1.09281,1702962000,1.09285,1.0921,1.09231
1.09279,1702965600,1.09303,1.09232,1.09279
1.0929,1702969200,1.09414,1.0924,1.09277
1.09409,1702972800,1.09424,1.09276,1.09288
1.09415,1702976400,1.09495,1.0939,1.09407
1.09382,1702980000,1.09454,1.09363,1.09415
1.09373,1702983600,1.09399,1.09306,1.09382
1.0969,1702987200,1.09707,1.09372,1.09373
1.0962,1702990800,1.09739,1.09541,1.09689
1.09795,1702994400,1.09843,1.09592,1.09621
1.09859,1702998000,1.09875,1.09694,1.09794
1.09771,1703001600,1.09861,1.09725,1.09859
1.09749,1703005200,1.09793,1.09727,1.0977
1.09751,1703008800,1.09766,1.09696,1.09751
1.09763,1703012400,1.09783,1.09724,1.0975
1.09783,1703016000,1.09786,1.09721,1.09762
1.09808,1703019600,1.09814,1.09765,1.09784
1.09834,1703023200,1.09848,1.09774,1.09811
1.09796,1703026800,1.09834,1.09779,1.09834
1.09732,1703030400,1.09797,1.09718,1.09796
1.09699,1703034000,1.09745,1.09681,1.09733
1.09698,1703037600,1.09729,1.09674,1.097
1.097,1703041200,1.09715,1.09681,1.09702
1.0969,1703044800,1.09712,1.0966,1.09699
1.09651,1703048400,1.09695,1.09646,1.09688
1.09591,1703052000,1.09652,1.09556,1.09651
1.09672,1703055600,1.09705,1.0951,1.09592
1.09608,1703059200,1.09714,1.09582,1.0967
1.09645,1703062800,1.09657,1.09532,1.09609
1.09521,1703066400,1.09652,1.09472,1.09645
1.09377,1703070000,1.09561,1.09357,1.09526
1.0937,1703073600,1.09422,1.09341,1.09376
1.09605,1703077200,1.0963,1.0936,1.09369
1.09703,1703080800,1.09723,1.09593,1.09607
1.09739,1703084400,1.0975,1.09536,1.09703
1.09564,1703088000,1.09756,1.0955,1.09739
